from,to
HOXD11,E4F1
TAL1,KIF3C
EGR2,ST3GAL5
ETS1,NTF3
RFX7,ATP2B2
SIX1,ZNF507
MEF2B,TRIM14
MEOX1,RAB11A
MAFG,IRGQ
SMAD3,DAB2IP
GFI1B,NDUFV2
TFEB,QTRT1
CREB1,STXBP3
TCF7L2,GABRB2
HBP1,ASB4
YY1,CRADD
SPDEF,CDC7
SP1,SSB
SP3,PCYT2
HOXB3,ICA1
EHF,CHMP2A
TCF3,PIK3R3
MYOD1,TUBA8
ETV1,MRPL52
DRGX,PPP2R1B
TFAP2B,TMEM63C
NFE2L2,ETAA1
E2F4,MCM2
POU4F1,ACSL1
CREB1,PITX2
POU2F3,MRPL44
FOXO1,AMBRA1
KLF12,CERS2
HF1H3B,DLG3
MAFB,TEK
HOXA2,BRD3
RARG,AUP1
OBOX2,DMD
SPI1,LGALS4
CREB5,UBC
TFAP2B,KCNH8
HOXA7,ITGAV
UNCX,FBXL17
NR4A2,GCNT2
ELF4,BRCA2
SP4,C17orf67
VSX1,SGTB
SP3,GPR84
HMX3,CCBL2
ISX,PPM1E
GSC2,GADD45GIP1
KLF16,RNF24
NFYA,LHX5
XBP1,PAFAH1B1
ZNF740,HCRTR2
SP1,GLCCI1
SMAD4,ADRA1B
PRRX1,GPR124
NKX2-8,LECT1
MAFB,NRG1
FOXC1,BTBD17
POU3F1,FABP7
BACH2,EDN2
HNF4,BZRAP1
RXRA,DCAF12
SP4,ACTR10
NFATC1,CCDC40
CTCF,CRB2
SMAD3,PPM1G
FOXO1,RND1
ELF1,TTC9C
SOX10,EVI5
ERG,ECD
FLI1,VPS26B
TBX4,NDUFA4L2
HNF4,TMCC3
CEBP,TRIM66
MEF2A,SRP19
NFY,GRK6
ZBTB14,DUSP7
ESRRB,FYCO1
PRDM1,LMO1
LHX8,APEH
FOXJ3,EID1
NFKB1,ADO
SP4,PSMB3
SP1,HSPD1
KLF16,NIT1
ETV5,USP39
NFYA,EFNA4
HNF4,MYL6
PRDM4,GRM4
ATF3,HAUS5
CREB5,NEK1
KLF4,C1orf61
KLF4,CR1L
POU3F1,ZNF428
MGA,EPHA3
SPDEF,MLIP
PPARG,TRA2A
HOXC4,CREG1
SP3,RITA1
SP1,SNAP91
ITGB2,RBPJ
SP4,SLC51A
LMX1A,NEUROD1
SP4,TTC9B
POU2F1,ASB11
AP1,SPRR1A
CREB5,RNF44
IRF9,PLP1
HERPUD1,NEDD9
ETV3,SF3A1
FOXJ3,CDC42EP3
NKX6-3,AKAP6
FOXJ2,FHDC1
CTCF,HIST1H4L
POU3F2,TCF3
TCF7,VSIG4
TFAP4,NEK10
ZIC3,KLHDC8A
GTF2I,SH2D3C
FOXP1,LRFN2
HOXB8,SORBS1
REL,KIAA0513
TP53,MLTK
SHOX2,KIAA0825
LHX6,TNRC6B
TFAP2A,FOXN4
RUNX3,SF3A1
NFIC,HMGA2
TGIF2,MAP3K7CL
EBF1,SHISA3
HIC1,PIK3R1
RUNX3,EBAG9
DLX1,RAB11A
FOXL1,RNF24
HOXC13,TIAM2
TCF4,IDE
TFAP2A,STRIP2
TCF3,TMEM88
SPIC,TIMM17B
ZIC3,ALKBH5
TEAD1,GLS
GABPA,DLGAP1
TGIF1,RSPRY1
TCF3,RELL1
SP1,SEMA6A
NFE2,PPP2R1B
CACD,GPR17
ETV4,GNPTG
TFE,ENC1
CREB1,TSPYL5
ETS1,CSMD3
SP4,COMMD4
HNF4A,HIGD1B
NKX1-2,MAB21L1
CREB3L1,KCNK1
HF1H3B,HMX1
FOXL1,GPM6A
RHOXF2,SRCIN1
HOXB2,KCNJ16
EGR,DACH1
MYOD1,FAM49B
NFYA,CDK2AP2
KLF16,MPP7
CUX1,HSPA8
