from,to
FOXB1,FOXN3
CREB5,RCAN2
NKX3-2,MED13
NFY,TBPL1
IRF,GTPBP4
GLIS2,PLEKHG5
KLF14,ATOX1
TBX4,BZRAP1
BBX,HNRNPA3
FLI1,COG4
EGR1,ANKS1A
RUNX2,GJB2
USF1,KLHL12
RARB,BEX5
DLX3,UBXN10
RARG,C17orf58
CDX1,PPA2
ZNF589,BHLHE23
NFKB,SYNDIG1L
OBOX2,DCT
VSX1,STAU1
REST,PSAP
RFX2,RFTN2
USF,CACNA1E
OBOX1,ZNF217
FLI1,GNG5P2
NFYA,HIST1H3C
SP8,STXBP1
EGR,SLC16A9
ELF3,DPYD
EGR,SENP1
CREB,DDX10
HLF,GAS2L1
HOXB13,RNF38
JDP2,TGFBI
SP8,PCDHB7
GABPA,HKR1
NEUROD2,C7orf33
KLF7,PLA2G15
MEF2A,FLNC
ZNF281,PSD
NFIA,FBXO10
KLF13,VKORC1
TGIF1,SLC30A9
PLAG1,HTR5A
ZNF219,ERF
NHLH1,PIP5K1B
NKX2-5,CAPN3
KLF7,CCDC107
NFYA,HIST1H3F
POU3F4,EMILIN3
NFIC,TRIM8
OTX1,TBC1D16
TFAP2A,TIMP1
CREB,ATP6V0C
AP1,NAA25
ZNF35,NBEA
VAX2,RORA
CREB,YTHDC1
NR2F1,LOXL3
KLF7,ATP1A1
NR2F1,NUFIP2
TAL1,TSC22D3
AP1,MYO9B
MAFK,NLN
ATF1,HIGD1B
SP3,TUSC3
YY1,TMEM126A
AR,FAM179A
HESX1,DLGAP1
IRF3,KBTBD8
ZBTB14,VOPP1
KLF16,CTIF
SP1,AHNAK
RXRA,CKAP5
ELF2,PATZ1
ELF5,PLCB2
MYEF2,CARD18
CTCF,STAG1
BACH1,FH
HOXD9,CCNI
POU,LIMA1
HBP1,MPZL3
POU4F1,CXCR4
CEBPA,DLGAP1
SOX4,PALMD
IRF7,PTCHD3
POU4F2,HS2ST1
RFX5,SGTA
NR2F1,INTS4
GRHL1,S100A8
HOXA6,ZKSCAN1
ELF5,ZNF560
HF1H3B,ST8SIA1
TAL1,ID1
SP1,FAM19A5
HOXB3,MGST1
ESRRG,ZFYVE16
RXRB,LBH
ETV1,POLR2C
ZNF219,FREM2
HOXC13,RUFY3
ETS2,RAI14
CTCF,POLR3E
MEOX1,CXXC5
SP4,CXXC5
TFAP2A,ZNF689
SP3,C1QA
LHX6,TDP1
E2F7,C14orf119
MYF6,KCNMB1
ETS1,SPHKAP
MSX2,EYA1
KLF4,SORD
MEF2B,NDP
KLF13,IST1
RARA,MCTS1
EGR,CELF2
MAX,TRPM7
ESRRA,CD36
ELF1,KDM4A
PGR,ERG
ETV7,PRLR
AHR,TMEFF2
EGR2,PDP1
ZIC1,TAGLN2
ZNF281,OXT
ELK3,ESCO1
FEV,IGF2R
ETV6,TBCC
SPIC,GAS2
HSF4,NNAT
ATF4,SIDT2
CREB1,C1QL2
SP1,EFTUD2
RREB1,EDARADD
SP1,IPPK
FOXL1,HOXA2
YY2,HIAT1
CACBP,PROX1
RARG,TNKS
SP4,PPIE
GABPA,ZNF227
IRF,PCDHB15
KLF16,LEPROT
EBF1,POU3F1
ESRRG,B3GNT5
UNCX,NRCAM
SP8,NXPH3
STAT,PLN
UNCX,ADAR
RELA,NDUFV2
ELK4,TTPAL
SP1,FAM13B
HNF4A,EIF4G1
TFEC,GALC
CDX2,CXCL1
CEBP,ABCA13
TFEB,BNIP3L
HMGA1,KIAA1045
ATF7,EFCAB14
POU4F3,VAMP1
LHX5,ROBO1
NFYA,C20orf96
POU2F2,PTPRZ1
PKNOX1,DOPEY1
ZNF35,ATF7
MEF2B,ANKRD40
FEV,C21orf62
ALX1,BOC
SOX17,ANKRD10
ZNF143,TBC1D2B
SP1,SLC25A33
HIC1,LMX1A
NKX6-3,EVX1
ETV5,HNRNPLL
ZIC1,ENSG00000273439
POU4F2,RUNX1T1
ELF4,VPS37C
POU2F1,LHX9
KLF7,CENPW
GABPA,CKS1B
KLF7,CNIH2
NR4A2,DNAI1
FLI1,PNMA2
NRF1,U2AF2
FLI1,CAP1
GABPA,GABRA1
ATF1,RFC3
EGR2,LMTK2
RFX5,STOML2
CTCF,ZIC5
TCF3,GNG8
ASCL2,SLC39A13
FLI1,ZDHHC22
HESX1,ARHGAP18
MSX2,PREX1
RFX2,CRIP2
TCF12,ADAM19
PRDM1,GAS2
HOXB3,ARNTL
CACD,HPS5
NRL,NISCH
EGR,IL12RB2
FOXB1,NHLH1
SPIC,RNF181
ZIC3,FREM2
ARNT,IRS1
HLF,POU2F1
RREB1,HPCAL1
SPIC,LYRM1
RFX7,LDOC1L
USF1,CPEB1
ELF4,DPH2
NR2F6,NFE2L2
EGR3,FOXL1
ETV2,SLC44A2
SOX14,ST6GALNAC5
FEV,C4BPB
MYOD1,GXYLT2
SP8,SH3TC2
NFE2L2,POLDIP3
RARA,LACE1
ATF3,LRRC57
TBX20,DAAM2
BARHL2,NCOA5
ZBTB14,NAA10
HF1H3B,CLUH
MEF2A,ST8SIA4
FOXD1,FOXL1
E2F4,SHISA4
HSF1,ITGA5
E2F1,KIF15
SIX4,LPHN2
POU2F1,ATF7IP
AR,FAM196A
SP1,ZMYM5
MEF2A,CLASP2
ELK1,PDE12
ONECUT1,SLITRK1
HOXC12,PRLR
TLX2,WASF1
ELF1,BUD31
PLAG1,AIFM3
MEIS3,CAMSAP3
ELK1,NYX
TCF3,RPL26L1
AP1,SRC
NFY,PI4K2A
PPARA,NCOA2
YY2,TMEM168
ELF3,ZBTB34
NFY,C11orf82
MAF,ARHGEF10L
SPIB,ZNF668
E2F2,BMP3
ZNF281,KCNH2
BHLHE40,WDR6
MEIS1,SHROOM3
POU2F3,NEO1
KLF16,PRKAB1
MSX2,RFTN2
TBR1,RNF11
RAX,ELMO1
RUNX2,ECM2
KLF7,ARL3
ESRRA,CXXC5
GABP,BCL10
USF,PRTN3
NKX2-4,ASB11
EGR2,ADRA1D
SP1,APLP2
MEIS1,POU6F2
E2F1,BAG6
SP1,RNF7
TFEB,SASH3
HOXA13,MRPS6
PPARG,POLR3GL
HERPUD1,SLMO2
RFX7,FBXO31
E2F3,KIAA2022
TCF7L1,NFKBIL1
SPI1,CD101
ETS1,PRR7
MAFF,PSMA1
NKX6-1,TEK
SP1,DNAJA4
ZBTB14,RHOBTB2
RFX2,HMGCR
ETV6,ATP6V1E1
MAF,CTSD
EVX2,TSTD2
USF1,FRMD4A
KLF7,ATXN7L3
ARNTL,FANCB
HOXB9,TMEM126B
CREB3,MNT
BARHL1,ELK3
CREB1,C11orf87
ASCL2,PRKCH
MEIS2,GPR27
CREB3,PAK1
PITX3,TREM2
ID4,TMEM178A
POU2F1,IL17D
ZNF75A,SERBP1
IRF,SAMD4A
NFY,SORBS2
NFY,SHARPIN
LHX3,VDAC1
ESRRA,DACH1
EBF1,METTL1
KLF14,RPS24
PKNOX1,ELF2
ETV3,EDC3
MEF2D,BACH2
HOXD3,TRAFD1
RFX1,CLDND1
NHLH1,PDPK1
GABPA,TXN2
CACD,NABP1
EGR,GGA1
IRF3,AXDND1
RARG,MCTS1
SP1,SERPING1
DOBOX5,NIPSNAP3B
RFX3,SOHLH2
SP1,ARV1
CACD,LPAR3
FOXF2,PFKM
SOX4,MALRD1
NFY,STAT1
POU3F1,AFP
SREBF1,PHF3
PITX3,ROBO3
ZNF740,PHLDB3
ZBTB14,CBX6
ETV3,KHDRBS1
HF1H3B,MSRB3
POU2F2,SLC26A7
ALX3,PCDHGA7
ERG,ZNF780A
CTCF,PDS5B
HOXC5,GNB1L
ZNF281,KCND1
ETS1,GPR6
MAFG,FGF11
SOX9,SORBS2
ATF3,RCE1
SP1,ZBTB14
SOX5,SLC39A10
TCF7L1,CUEDC2
CACD,GNG8
NKX2-6,DTX3
RFX2,FAM135B
POU3F2,ARGLU1
ETS,PRR14L
TGIF2,C11orf74
NFYA,FOXM1
TAL1,CPEB4
KLF16,ZBTB22
POU1F1,ZIC5
POU1F1,HIST2H2BF
RFX2,ASB7
GBX2,SLC27A4
TFAP2A,TTLL4
IRF9,SMARCA2
SP1,ATP5J
ZNF281,USP9X
MSX1,PPP1R36
ALX4,SUPV3L1
FLI1,NACAD
SP4,ZNF628
SP4,NEUROD4
HOXC12,NRP2
CREB3L2,NUMBL
SP8,ETNK2
PITX1,CACNA1F
ELF4,DYX1C1
EGR2,ATP2B2
PAX9,SCNN1B
POU4F1,ZSCAN31
CREB,IFT81
DLX5,GLYAT
CEBPA,CSNK1E
HOXD13,KCNMA1
E2F1,PDHA1
ELF2,DGUOK
HOXC12,UCN3
EN1,CPVL
ELF4,TRAPPC8
ETS1,ARPP21
KLF4,RABGAP1
CTCF,EXTL3
NHLH1,DCTPP1
EGR1,CD180
HOXC10,POFUT1
EGR,CACNB2
POU3F1,F2RL1
GSX2,DAPK1
ONECUT3,PLXNA4
NKX2-5,MLC1
HOXC13,PTCH1
CACBP,PNMA5
NFE2,CACNG5
ETV6,NUMA1
SOX21,MSTN
NR2C2,PRKCZ
CDX2,CASP8
CREB,MTURN
POU3F4,C7orf50
SP1,FAM83D
KLF16,TLR9
KLF4,QRICH1
HOXB9,COX11
POU2F2,CBFA2T3
HOXC12,SPAG7
PRDM1,CPEB1
ETV4,OTUD5
ZBTB18,SH3KBP1
KLF14,PDHX
ATF6,ZNF449
KLF12,SLC7A8
TFEC,PHF3
FOXC1,SVOP
FOXO3,DIP2B
POU2F1,PRDM2
EGR1,SNCA
KLF4,PMAIP1
TFE3,FAM187A
CUX1,C1orf94
EGR,C12orf56
KLF16,SLC37A4
TBX4,OTX2
BHLHE40,SLC25A46
PKNOX1,IQCK
POU3F3,GZF1
SP1,ZC3H3
NOBOX,LARP7
NHLH1,RPS6KA2
SP1,MOB1B
SP3,MYO19
TAL1,SRPX2
AP1,HID1
SOX21,PLCXD3
HOXA2,CLDND1
YY1,TP53I11
NFKB1,RC3H2
HOXB3,IGSF9B
ZNF652,SRP14
POU,ETS1
SP3,CCHCR1
ERG,PSMD6
REL,ARL4A
ARNT,SLC25A13
HOXA11,HOXA5
ESRRB,ING2
HOXD8,GAL3ST3
ATF2,CNDP2
SP1,TRRAP
E2F4,PPP2R5A
HMX1,VAV3
EBF1,GJB1
HOXD13,CADPS
ETV6,CAMK4
RFX2,SWSAP1
HOXD13,SHB
FOXJ1,PPM1D
KLF12,MIEN1
HOXA2,YEATS4
CRX,EFS
FEV,ITFG1
RARA,MYRIP
RFX2,FSCN1
EBOX,CTBP2
EVX2,PAQR3
NFKB,KIAA0513
ERG,PEX11A
ELK4,OGG1
KLF4,HTR7
RFX3,YPEL1
HOXC4,CERKL
FEV,PHKB
EGR4,RTN4
PAX5,DCTN5
NFE2,MNT
REST,GNPDA2
HOXA3,RGR
HOXD13,FH
HOXA7,USP32
ATF2,MRGPRF
KLF14,C22orf29
TCF3,DCLK1
E2F1,ZNF653
NR3C2,TSHZ1
POU3F2,HOXB6
NHLH1,DNAJB12
DLX4,PARD6G
ZBTB14,HMGCLL1
HOXD3,PLRG1
HF1H3B,RABGAP1
ZNF143,TIAL1
BARX1,ANK2
GABP,ELP6
ETV7,DOCK5
YY2,TMEM131
NR2C2,ITIH3
SPDEF,EIF2A
AIRE,MAD2L1
NRF1,C11orf71
LHX3,SWT1
EHF,ARID4A
SPIB,UBE2F
FOXA1,VEZT
OTX1,ANGEL2
EVX1,NME5
KLF4,CCNB1
ID4,SLC1A4
EGR4,KCNA1
HOXC10,ADAMTSL1
TFAP4,PTPN6
LHX6,MAB21L1
KLF14,STAG1
POU2F1,GFRA2
NR2C2,GPANK1
CPHX,ATP2C1
SP4,FOXRED2
DLX6,RMI1
TFAP4,RNF149
HNF1B,ACSL4
TCF3,RPRM
ATF6,GOLGB1
TGIF2,FXYD1
MEOX2,PTCHD2
KLF16,CD99L2
OTX2,ADCK4
PROP1,CRHBP
LEF1,RNASE1
TGIF2,SUPT4H1
FOXA1,CAMK1G
ELK1,DCTN5
CREB1,NFX1
MEIS3,GALNT4
FOXA1,FOXG1
EGR,CA10
NRF1,SMAD4
GFI1B,TBXAS1
FOXA2,CEP89
NFY,CDR2
RARA,SYN1
EN1,ITGB3
GBX1,MEPE
MAFG,TCEB3
E2F1,ZSCAN22
KLF14,DACT3
SP3,ERI1
ETV7,CECR1
ZNF740,TEKT2
EGR,FBXW7
SP3,ZNF385B
PRRX2,HBEGF
POU6F1,FAM206A
NFIB,HIF1A
MAFB,ZIC2
NEUROG2,HOXA9
SP1,RRP7A
SP3,AVP
LHX9,TMEM206
HOXD8,TK2
BARX1,ARF3
HIC1,C1orf173
FEV,CALD1
FLI1,CTDNEP1
KLF16,TCP11L2
NKX6-1,NANS
CTCF,FUT11
KLF4,ARAP3
TGIF2,CPE
HOXD1,ST3GAL6
ZNF652,TMEM145
PRDM1,LECT1
SP3,LTB4R
SP1,NPY
RBPJ,PTPRU
NFAT,PCDHB14
EN1,OSBPL7
CLOCK,NKX2-2
SP4,NR5A1
KLF7,IQCD
ALX3,EVL
POU3F3,EIF4G2
ERF,TOMM22
RHOXF1,TMEM199
HIC1,CELF3
IKZF2,SNTG1
MEIS3,DRD1
SP4,FXYD1
FOXO3,SRPX2
RFX4,CDK10
TGIF1,HHIPL1
NFKB2,LMO4
NRF1,UNC79
ZNF740,RIN1
POU2F3,SESN3
SP1,ATP2B2
FEV,SLC18A1
EBOX,FAM195B
ETS2,ZBTB20
HOXC11,ELP3
BARHL2,CXXC5
ELF1,PEX11A
SP1,FOS
SP4,KRI1
ETV1,KLHL23
KLF16,SP1
HF1H3B,STRADB
FOXC1,FAM65B
ZIC1,CBLN2
TFAP4,OST4
PRDM4,PLXNA2
NFE2L2,FH
RFX3,AGBL4
SP3,FAM57B
CBX5,BTBD17
SP1,TTK
NFE2L2,GPR183
EGR3,PTPRN
ZBTB7B,EEF2K
NFKB1,MTRNR2L3
ATF1,PSMG4
CTCF,EFHD1
GABPA,TRNT1
MYF6,IQGAP2
ELF1,TSSC1
SOX8,NLGN4X
ETS1,BRD4
RFX7,SGTA
RELA,CD3EAP
EHF,MMP7
NHLH1,DDAH2
SP8,AP1AR
ESRRA,INTS10
NFKB,TNIK
PBX1,RAPGEF4
GABP,KEAP1
IRF7,ZMAT3
LHX2,MGAT4C
MAFF,GIPC2
POU1F1,CTNNB1
BARHL2,LDLRAD4
GSX2,CDC23
ERG,TOM1L1
DUXA,GJA3
ELF3,E2F7
TFE,ZNF24
BATF3,MXD1
HNF1A,HNF4A
RUNX3,GABRA6
GFI1,GAS7
LEF1,NTF3
LBX2,NUP62CL
NFYA,VKORC1
SP4,STRADA
KLF16,RRM2B
KLF16,IKBKG
NFKB,RELB
ATF2,ZNF891
POU2F1,COMMD9
POU4F2,GRB14
RXRG,MYCN
TFAP2A,RALGDS
RORA,HOXA11
KLF14,EGFLAM
HF1H3B,EPHA10
DLX5,CER1
KLF14,RPL3
BARX2,ASPH
E2F1,FXR2
SREBF,FEM1A
HNF1A,PLEKHG3
ZNF524,NKX2-2
TFE3,GALT
MEIS3,LCORL
RFX7,PTPN4
EN1,KCNJ2
ARNTL,TNPO2
ONECUT1,HOXC10
BBX,MGAT4C
SP1,ZMYND10
NFAT,NHLH2
NKX2-3,ECE2
RUNX2,KIF22
ETV7,PSMD12
NFE2,SH3BP5
POU4F3,C1orf192
ITGB2,CALCRL
HIF1A,FOXK2
ELK3,AURKAIP1
IRF,GCSAML
KLF12,SAMD3
RFX2,AL355490.1
EGR2,PLIN5
POU2F1,UQCR11
RXRA,PI4K2A
ATF1,P2RX3
POU6F1,EOMES
NFY,ASF1B
TLX2,FAM107B
KLF14,PCNT
ZBTB14,CRHR2
SP8,GPR110
NR3C2,TSTD2
ETS2,ARRB2
KLF13,IGF2R
MLX,LRRC48
FOXI1,ADAMTS6
HOXB2,CNIH4
SP1,BCAN
MYC,VARS
EGR,MLST8
HF1H3B,DSCAM
ETS1,ICAM2
MSX1,EIF2AK3
CDX,KIAA1614
ZNF423,LMX1A
RELA,C6orf62
HNF4,TGFB3
IKZF2,TEX2
IKZF1,PDGFRB
RARG,EGR2
MNX1,CPLX4
KLF14,RUNDC3A
FOXO3,BCOR
TFAP2C,HES6
MSX2,NCALD
FOXK1,BUB1B
RFX4,TEX264
ELK4,CRIPT
NFYA,SLC9C1
SOX1,EPHB6
ATF2,NEDD1
FOXC2,TMEM260
E2F3,HIST1H2BJ
MAFK,SLITRK3
RFX3,HEATR6
AR,GPR125
NFY,PLIN3
RELA,NFATC3
BARHL1,INADL
HOXA13,KAZN
ATF1,BRSK2
ETV6,TRIM16L
CPEB1,NUBP1
BATF3,FAM174A
RFX3,TMEM67
SPIC,SPTY2D1
HF1H3B,SUMO2
SP1,APLF
ZNF281,PDIK1L
IKZF2,ESRRG
PKNOX1,KIAA0513
BARHL2,C10orf118
ELF4,ZKSCAN8
POU,EGLN2
FLI1,WDR5B
BSX,RPL27
LBX2,EPB41L3
ZNF143,KCTD21
RFX5,HCN4
SP4,FAM212A
RARA,NTM
RAX,B3GALT2
FOXO1,DLG2
NR2F6,DCLK1
TCF4,CELF2
POU2F1,SRXN1
ERG,SLC4A7
RFX7,TAGLN2
ETS1,AGPAT1
ETV3,ALKBH3
JDP2,CLASP2
NFIC,ANK2
ESR1,ADAMTS14
KLF4,NPM1
EMX2,HHIPL1
ALX3,HTRA2
SP8,AKT3
ELK1,FOXN3
HOXC10,GABRA1
HOXD8,KLF7
RAR,DUSP4
PATZ1,ONECUT2
ZNF75A,DNAH7
PPARA,MGST1
POU2F3,GABRB2
REL,CCL2
TFE3,MAX
BATF3,GTF2F1
MEIS1,FCRL3
SP8,TMEM50A
JDP2,FBXO34
PAX3,DCAF11
ELF4,WDR78
NKX2-5,RABGAP1L
PBX,AP000974.1
SP3,ISG20L2
REST,SLC17A6
CREB5,XCL2
EGR2,PGM2
MAFK,PMP2
EGR,VGF
BARX1,PCDHA12
RORA,CC2D2A
CREB3L1,GFPT1
SPDEF,SHROOM3
TCF3,PCDHGC5
TGIF1,UBR3
RFX7,ZNF598
NKX2-3,PITPNM1
OBOX1,FBXL15
IRF8,XPA
NKX6-3,RHOBTB3
HOXA11,DNTTIP2
SP3,ERG
MYCN,DIAPH1
VDR,KCNH5
PAX4,IGSF9B
LHX3,PRLR
ETV6,SETX
SP4,PLIN5
SOX17,NHLH2
EGR,LPAR1
POU3F1,GRAP2
ETV7,ARHGAP1
FEV,NUDT4
HOXA11,SORBS2
LEF1,SORBS2
CTCF,RSL24D1
AFP1,PCDHGC3
MYF6,SYNJ2
NFYA,TAOK3
GLI2,DLEU7
NFKB,CDC20B
LHX4,IRX4
NR2C2,CKAP5
FOXL1,SLAIN1
HNF4A,NEURL2
LBX2,PTPRD
KLF14,BRE
MTF1,ARX
HF1H3B,UBA1
LBX2,KCTD1
HF1H3B,COX15
SP1,RPUSD4
SP1,MPPED1
ELK3,GPANK1
PAX4,CDC23
HOXA5,SEMA6D
SP4,GNB1L
IRF9,C10orf10
ZNF143,PCSK4
POU2F1,RNF40
ALX1,PCDHA5
KLF4,ESAM
POU5F1B,PLEKHG1
KLF7,RENBP
MSX2,TENM3
ZIC1,GPSM2
MSX2,C14orf23
NFIC,TMC5
RFX3,FASTKD2
ATF1,HDX
BARHL2,FNDC3A
RAX,CLDND1
RARA,FURIN
SP1,BOC
SP1,MPP1
MEOX1,RCAN1
HOXD3,ELAVL4
MNX1,LRP6
HOXC11,PHF19
BSX,WWTR1
PKNOX2,SESN1
KLF12,SRSF5
CREB,COL20A1
BACH1,RNF34
REST,PPAN-P2RY11
MYEF2,SPATA16
AR,PRKAR2B
KLF12,CDKN1A
HERPUD1,C20orf85
BACH2,RUNX2
ITGB2,CERCAM
GABPA,NDUFB9
RFX2,DNAI2
HOXD8,NKX2-1
KLF16,STAT6
TP53,TRIM42
POU2F1,SLC25A26
PAX6,CCDC33
JDP2,PCDH10
RUNX2,SORT1
ETV7,VPS37C
SP3,DNAAF1
SP1,NANOS1
SP3,SMYD5
ELF4,KCNH8
EGR3,FGF1
E2F7,CD86
RORA,ITGAX
SNAI2,MAP3K7CL
SP4,UBE2M
IRF9,SEMA4D
POU3F1,KRTAP3-1
GFI1,MMP1
SPIB,FCGR1B
SP1,GPR137C
TFCP2,CHST8
BARX1,CCDC65
NR2C2,NEU4
MYOD1,CD44
HOXA7,BAZ1A
CLOCK,CCDC6
SP4,SH2D3C
SP1,PAK3
SP4,E4F1
RFX5,ZNF706
SP3,EBI3
HOXC11,SCAF11
MNX1,PHF19
NKX6-1,KLRF1
RFX5,MPZL3
ETV5,TMEM127
PKNOX1,TRIM10
EMX2,RHOH
HOXA1,GSTO2
DLX5,GRIN2B
ELF4,MMP7
ZBTB18,METRNL
RFX4,EFNA5
KLF16,CACNG8
MYOD1,FBXW7
MEF2A,TBC1D1
STAT,BATF3
GABPA,ZCRB1
ELF4,CREBRF
MSX2,GSTM5
KLF7,RCAN1
KLF16,HSBP1
HOXD10,FHL3
KLF14,MED31
RHOXF1,ZBTB5
KLF16,MSH3
SPI1,IGSF1
SP1,PEX5
HOXA1,ETV1
MEF2A,NOTCH1
LMX1A,FAM184A
STAT,PIM2
ZBTB18,ATP6V1B2
CREB5,MLF2
E4F1,ZNF184
SP1,OTUD7B
AP1,DLEU7
HOXD13,GLOD4
STAT3,CLDN5
EGR1,SLAMF9
LHX2,PKD1L1
HOXC12,COX18
HOXD3,PPP1R12B
RFX2,ZIC2
SOX21,AKAP7
OBOX3,VCPKMT
SOX1,DIRAS2
CEBPB,LRP1B
NRF1,DHDDS
POU2F3,SHB
NFY,ALDH4A1
TCF7L2,MAPRE2
EGR,ZYG11B
KLF4,PLEKHF1
POU1F1,ISL1
JDP2,ATP5D
ETV5,ERI2
MYEF2,ZMYND8
NR3C1,CDHR3
SOX4,SACS
ARNTL,UBE4B
IRF7,BCMO1
FOXO1,RMND5A
HOXD11,E2F3
MEF2B,MTUS1
HMX3,ELMOD1
THRB,CASQ1
RFX7,TRMT2A
RARA,LRRC16B
HOXA3,SLU7
PPARG,PLK2
ERG,DEPDC1B
TCF3,PRKCD
CTCF,C1orf106
EWSR1,UNC5A
SOX11,EDIL3
NRF1,CLIP4
TGIF1,YAE1D1
STAT6,RND2
ZNF281,BCL2
GABP,IKBKG
GATA3,NRL
ELF4,C21orf67
FEV,IRF2
POU4F3,GAP43
ELK4,PTRH2
KLF4,CES1
NFYA,EPM2AIP1
TAL1,KIF1B
HOXA13,FBXW7
HOXB7,ZIC5
ELF2,RALGAPA2
ZNF713,EFR3A
TP53,MLH1
RELA,FKBP11
POU6F1,PDE4B
ELF3,TMEM186
ZNF281,KIAA1522
SCRT1,GRM4
ATF1,VMP1
CEBPD,STMN2
POU3F3,ZIC4
ESRRA,OTUB2
IRX3,NAT9
PKNOX2,RIMKLB
HNF4,PLK2
SP3,MOB4
KLF16,TRIOBP
RFX7,CDHR1
MEOX2,MYH9
ZEB1,PCDHA13
UNCX,NLN
ATF1,PDLIM3
POU5F1,PDE4D
HOXA10,C18orf42
ZBTB14,C2ORF15
TFAP4,GRAP2
SOX18,NCKAP5
ZBTB14,YEATS2
SOX21,NRIP1
ESRRB,ACAA2
IRF7,PFKFB3
NKX3-2,KRTAP3-1
SP4,PNKD
ATOH1,SMS
CEBPA,RADIL
E2F3,CARNS1
CREB5,KIF15
FOXA2,GRAP2
FOXA2,TAC1
PROP1,RET
ELK4,TIGD1
PRRX2,ZNF830
HOXB2,NEDD4L
KLF4,RNF41
TBX20,IL10RA
POU6F2,DMRTA1
HOXB6,MGAT4C
VSX1,HBEGF
MAX,DSCAML1
NFE2L2,MDH2
ZNF281,CGGBP1
KLF16,GOLGA2
NR2F1,LRRK2
ESRRG,C4BPB
PDX1,BACH2
HOXA10,BRCA2
HOMEZ,MID1
RFX4,CD101
FOXC2,MORF4L1
BARX1,CCND2
PAX4,BTRC
KLF12,SEMA6D
IKZF3,CENPJ
PPARG,FAM170A
PAX3,MARCKS
MYB,IER5
FLI1,TINF2
FOXO4,FOXG1
IRF3,FXYD6-FXYD2
FOXA1,MED28
EMX2,WSCD1
ATF6,POP5
GATA4,LPHN2
USF1,GPR176
AP1,ADD2
HOXC11,CACNB4
EGR2,SEC14L1
ZNF219,CBLN3
EHF,TVP23B
LHX1,TNFRSF19
FOXB1,FIGN
SP4,VWCE
POU3F2,OLFM3
HLF,FAM76B
ETV6,TAGLN3
LHX2,B4GALT1
TEAD1,WDR17
HERPUD1,ELF1
IRF8,ZDHHC6
ETS1,RNF25
FLI1,WDR25
AP1,CRB2
POU4F1,KIAA1024L
TGIF1,FXYD1
KLF16,CCNB1
ETS1,PDLIM2
ELF3,BOD1L1
HOXA3,TNRC18
AHR,SFRP2
HOXA2,KCNJ16
NKX3-1,NEO1
EN1,C17orf58
HOXC8,FOXP1
ZSCAN4,CTLA4
TBX20,GPR27
ETV1,TRAPPC1
SP8,BEND3
NR1H4,IL17RA
SP4,E2F8
JDP2,TUBB2A
FOXI1,SCG2
GABPA,PCID2
SP4,MYADM
POU3F2,CCDC85C
NOBOX,B4GALT3
MNX1,HHIPL1
SP3,FAM104A
FOXD3,NCK2
SP3,L3HYPDH
RARA,IL8
TP53,CDRT4
SPI1,RCAN1
RELA,ZDHHC8
POU,GADD45A
ETV7,MEX3A
POU3F2,QSOX2
NR5A2,CHUK
FLI1,FOXS1
ISL2,BRPF3
GABPA,TAF10
ELK1,KCNA3
RFX4,TMEM51
KLF4,RAB35
CTCF,ZC4H2
SPI1,LRR1
GABPA,SDR39U1
RFX5,CRABP2
KLF12,DNASE2
BRCA1,TPPP2
GBX2,BMPR1B
RARA,SYNPO2L
KLF14,ZNF177
ELK3,PHF23
ZNF143,C9orf43
FOXI1,SKIDA1
ELK1,RASGEF1C
SP1,RNASEK
HMX2,ENPP2
SPI1,TSPAN12
RUNX1,ZBTB25
SP1,PPP1R14A
NFE2L2,UBE2K
GABP,JADE2
GABPA,CELF1
GABPA,WDR93
SOX2,HBG2
FOXJ3,TMEM260
MAFG,MYO7A
GATA4,CLPS
SP1,AGO1
CREB5,JARID2
GBX2,PSD2
RFX2,ZNF837
CACBP,MEX3A
RARA,BRAT1
SP8,CNDP2
SP1,PPP4R1L
ETV6,DHX40
RUNX1,C1orf112
CTCF,FGD3
MYOD1,CRYAA
ZIC1,NEDD1
SOX30,SH3PXD2B
ATF1,GNB2
GFI1,RHOV
BACH2,ST8SIA4
BSX,PCDH7
NFE2,MBD6
ELF1,ISOC1
TFE3,ALDH3A2
OBOX6,EEF2
ELF3,DHX37
SP4,MPC1
TEAD3,NR1H4
SP1,C12orf75
ELF1,AP1M1
ELF1,RAB6A
HF1H3B,CHD4
ELK4,TCOF1
EGR,CTDSP2
ELF3,ADRB2
SP1,PPP1R9B
TCF4,USP14
TCF3,ZFYVE26
ALX1,CGA
SPI1,ABI1
CREB5,ID1
LMX1B,CTSC
HMX3,GFAP
SP1,PYCARD
YY1,FHIT
ELF5,PMM2
ETV7,ANKRD42
RORA,RMDN2
HOXC13,HGF
MAFF,ADC
KLF12,EIF3J
DLX1,LPHN2
ZNF219,PALD1
RFX2,YWHAH
NR3C2,TIMP3
ELF5,CCDC39
RUNX,RNF43
HOXB3,CXXC5
KLF14,MAGEE2
ETV2,C1orf74
GABPA,CISH
NR4A2,EIF4E
E2F1,KIF18A
VAX2,ELMO1
RFX4,LGALS3
MIXL1,MAST4
RARB,MAGI2
POU2F1,DLG2
ZNF219,LAMA5
POU2F3,SMAD7
ELF3,MED11
MAFF,ZBTB7A
MYC,POLR3D
RFX5,FCER2
SP1,ATP6V0D1
NKX6-2,PPHLN1
ETV5,CRIPT
FOXI1,NUP93
MEOX1,PCDHB2
HOXC11,POU2F1
SP4,PLEKHF2
RUNX1,EXPH5
